Version 1
,Date Time,Name,Value
,20/Apr/2023 08:37:19,VESSEL_BATCH,224501697
,20/Apr/2023 09:00:52,VOLUME,8.035
,20/Apr/2023 11:27:35,VOLUME,8.060
,20/Apr/2023 12:48:14,O2,89.23
,20/Apr/2023 12:48:14,O2_DATE,Thu 20 Apr 2023 12:48:14
,20/Apr/2023 12:48:15,COUNT,1
,20/Apr/2023 12:48:15,PH,7.77
,20/Apr/2023 12:48:15,PH_DATE,Thu 20 Apr 2023 12:48:15
,20/Apr/2023 12:49:44,O2,89.15
,20/Apr/2023 12:49:44,O2_DATE,Thu 20 Apr 2023 12:49:44
,20/Apr/2023 12:49:44,COUNT,2
,20/Apr/2023 12:49:44,PH,7.78
,20/Apr/2023 12:49:44,PH_DATE,Thu 20 Apr 2023 12:49:44
,20/Apr/2023 12:51:14,O2,89.23
,20/Apr/2023 12:51:14,O2_DATE,Thu 20 Apr 2023 12:51:14
,20/Apr/2023 12:51:15,COUNT,3
,20/Apr/2023 12:51:15,PH,7.77
,20/Apr/2023 12:51:15,PH_DATE,Thu 20 Apr 2023 12:51:15
,20/Apr/2023 12:52:45,O2,89.32
,20/Apr/2023 12:52:45,O2_DATE,Thu 20 Apr 2023 12:52:45
,20/Apr/2023 12:52:45,COUNT,4
,20/Apr/2023 12:52:45,PH,7.78
,20/Apr/2023 12:52:45,PH_DATE,Thu 20 Apr 2023 12:52:45
,20/Apr/2023 12:54:15,O2,89.32
,20/Apr/2023 12:54:15,O2_DATE,Thu 20 Apr 2023 12:54:15
,20/Apr/2023 12:54:16,COUNT,5
,20/Apr/2023 12:54:16,PH,7.76
,20/Apr/2023 12:54:16,PH_DATE,Thu 20 Apr 2023 12:54:16
,20/Apr/2023 12:55:46,O2,89.06
,20/Apr/2023 12:55:46,O2_DATE,Thu 20 Apr 2023 12:55:46
,20/Apr/2023 12:55:46,COUNT,6
,20/Apr/2023 12:55:46,PH,7.76
,20/Apr/2023 12:55:46,PH_DATE,Thu 20 Apr 2023 12:55:46
,20/Apr/2023 12:57:16,O2,88.80
,20/Apr/2023 12:57:16,O2_DATE,Thu 20 Apr 2023 12:57:16
,20/Apr/2023 12:57:17,COUNT,7
,20/Apr/2023 12:57:17,PH,7.76
,20/Apr/2023 12:57:17,PH_DATE,Thu 20 Apr 2023 12:57:17
,20/Apr/2023 12:58:47,O2,88.37
,20/Apr/2023 12:58:47,O2_DATE,Thu 20 Apr 2023 12:58:47
,20/Apr/2023 12:58:47,COUNT,8
,20/Apr/2023 12:58:47,PH,7.76
,20/Apr/2023 12:58:47,PH_DATE,Thu 20 Apr 2023 12:58:47
,20/Apr/2023 13:00:17,O2,87.94
